,bronze,rank,count,silver,countryname,gold,countryid
0,33,1,113,41,美国,39,USA
1,18,2,88,32,中国,38,CHN
2,17,3,58,14,日本,27,JPN
3,22,4,65,21,英国,22,GBR
4,23,5,71,28,俄罗斯奥运队,20,ROC
5,22,6,46,7,澳大利亚,17,AUS
6,14,7,36,12,荷兰,10,NED
7,11,8,33,12,法国,10,FRA
8,16,9,37,11,德国,10,GER
9,20,10,40,10,意大利,10,ITA
10,11,11,24,6,加拿大,7,CAN
11,8,12,21,6,巴西,7,BRA
12,7,13,20,6,新西兰,7,NZL
13,5,14,15,3,古巴,7,CUB
14,7,15,20,7,匈牙利,6,HUN
15,10,16,20,4,韩国,6,KOR
16,5,17,14,5,波兰,4,POL
17,3,18,11,4,捷克,4,CZE
18,2,19,10,4,肯尼亚,4,KEN
19,2,20,8,2,挪威,4,NOR
20,4,21,9,1,牙买加,4,JAM
21,6,22,17,8,西班牙,3,ESP
22,0,23,9,6,瑞典,3,SWE
23,6,24,13,4,瑞士,3,SUI
24,4,25,11,4,丹麦,3,DEN
25,2,26,8,3,克罗地亚,3,CRO
26,2,27,7,2,伊朗,3,IRI
27,5,28,9,1,塞尔维亚,3,SRB
28,3,29,7,1,比利时,3,BEL
29,2,30,6,1,保加利亚,3,BUL
30,1,31,5,1,斯洛文尼亚,3,SLO
31,2,32,5,0,乌兹别克斯坦,3,UZB
32,1,33,8,5,格鲁吉亚,2,GEO
33,6,34,12,4,中国台北,2,TPE
34,9,35,13,2,土耳其,2,TUR
35,1,36,4,1,希腊,2,GRE
36,1,36,4,1,乌干达,2,UGA
37,0,38,3,1,厄瓜多尔,2,ECU
38,2,39,4,0,以色列,2,ISR
39,2,39,4,0,爱尔兰,2,IRL
40,1,41,3,0,卡塔尔,2,QAT
41,0,42,2,0,科索沃,2,KOS
42,0,42,2,0,巴哈马,2,BAH
43,12,44,19,6,乌克兰,1,UKR
44,3,45,7,3,白俄罗斯,1,BLR
45,0,46,4,3,罗马尼亚,1,ROU
46,0,46,4,3,委内瑞拉,1,VEN
47,4,48,7,2,印度,1,IND
48,3,49,6,2,中国香港,1,HKG
49,1,50,4,2,菲律宾,1,PHI
50,1,50,4,2,斯洛伐克,1,SVK
51,0,52,3,2,南非,1,RSA
52,5,53,7,1,奥地利,1,AUT
53,4,54,6,1,埃及,1,EGY
54,3,55,5,1,印度尼西亚,1,INA
55,2,56,4,1,葡萄牙,1,POR
56,2,56,4,1,埃塞俄比亚,1,ETH
57,0,58,2,1,突尼斯,1,TUN
58,1,59,2,0,爱沙尼亚,1,EST
59,1,59,2,0,泰国,1,THA
60,1,59,2,0,斐济,1,FIJ
61,1,59,2,0,拉脱维亚,1,LAT
62,0,63,1,0,百慕大,1,BER
63,0,63,1,0,波多黎各,1,PUR
64,0,63,1,0,摩洛哥,1,MAR
65,1,66,5,4,哥伦比亚,0,COL
66,4,67,7,3,阿塞拜疆,0,AZE
67,2,68,5,3,多米尼加,0,DOM
68,2,69,4,2,亚美尼亚,0,ARM
69,1,70,3,2,吉尔吉斯斯坦,0,KGZ
70,3,71,4,1,蒙古,0,MGL
71,2,72,3,1,阿根廷,0,ARG
72,2,72,3,1,圣马力诺,0,SMR
73,1,74,2,1,约旦,0,JOR
74,1,74,2,1,马来西亚,0,MAS
75,1,74,2,1,尼日利亚,0,NGR
76,0,77,1,1,土库曼斯坦,0,TKM
77,0,77,1,1,北马其顿,0,MKD
78,0,77,1,1,纳米比亚,0,NAM
79,0,77,1,1,立陶宛,0,LTU
80,0,77,1,1,巴林,0,BRN
81,0,77,1,1,沙特阿拉伯,0,KSA
82,8,83,8,0,哈萨克斯坦,0,KAZ
83,4,84,4,0,墨西哥,0,MEX
84,2,85,2,0,芬兰,0,FIN
85,1,86,1,0,科威特,0,KUW
86,1,86,1,0,科特迪瓦,0,CIV
87,1,86,1,0,加纳,0,GHA
88,1,86,1,0,叙利亚,0,SYR
89,1,86,1,0,布基纳法索,0,BUR
90,1,86,1,0,格林纳达,0,GRN
91,1,86,1,0,摩尔多瓦,0,MDA
92,1,86,1,0,博茨瓦纳,0,BOT
